000001	平安银行	1.21	15.90	0.19	15.90	15.91	1007706	13071	0.00	0.59	15.85	
000002	万科Ａ	-0.84	26.00	-0.22	26.00	26.01	397930	8578	0.00	0.41	26.21	
000004	国农科技	1.51	18.88	0.28	18.88	18.89	6679	179	0.27	0.81	18.68	
000005	世纪星源	1.94	3.16	0.06	3.15	3.16	84953	2007	0.00	0.80	3.14	
000006	深振业Ａ	0.00	5.10	0.00	5.10	5.11	57092	1358	0.20	0.42	5.12	
000007	全新好	-1.97	8.46	-0.17	8.46	8.47	86867	1637	-0.93	2.81	8.30	
000008	神州高铁	0.29	3.48	0.01	3.48	3.49	969799	4027	0.29	3.74	3.47	
000009	中国宝安	1.35	4.50	0.06	4.50	4.51	113796	888	0.00	0.45	4.49	
000010	*ST美丽	-0.59	3.37	-0.02	3.37	3.38	7031	60	0.60	0.13	3.30	
000011	深物业Ａ	0.21	9.75	0.02	9.74	9.75	17551	269	-0.09	0.33	9.80	
000012	南玻Ａ	0.71	4.26	0.03	4.25	4.26	72632	1069	0.24	0.37	4.23	
000014	沙河股份	-1.14	9.54	-0.11	9.53	9.54	28877	669	0.21	1.43	9.64	
000016	深康佳Ａ	1.44	4.22	0.06	4.22	4.23	81515	616	-0.23	0.51	4.15	
000017	深中华Ａ	2.74	4.87	0.13	4.86	4.87	95317	898	0.00	3.15	4.76	
000018	*ST神城	-1.02	0.97	-0.01	0.97	0.98	253258	2472	-1.01	2.54	0.98	
000019	深粮控股	0.82	6.15	0.05	6.15	6.16	22073	734	-0.15	0.53	6.12	
000020	深华发Ａ	3.30	11.27	0.36	11.27	11.28	15952	172	-0.08	0.88	10.91	
000021	深科技	4.06	11.28	0.44	11.28	11.29	509269	5408	-0.17	3.47	10.80	
000023	深天地Ａ	2.87	13.25	0.37	13.25	13.26	20573	388	0.23	1.48	12.98	
000025	特力Ａ	-0.15	20.47	-0.03	20.47	20.48	30386	851	-0.04	0.77	20.38
000026	飞亚达Ａ	4.79	7.87	0.36	7.86	7.87	58126	683	0.00	1.63	7.55	
000027	深圳能源	-1.70	5.79	-0.10	5.78	5.79	68889	777	0.00	0.17	5.85	
000028	国药一致	-0.73	43.33	-0.32	43.33	43.41	19734	316	-0.22	0.64	43.43	
000029	深深房Ａ	--	10.97	--	--	0	0	--	--	--  	
000030	富奥股份	-0.85	4.69	-0.04	4.68	4.69	18037	228	-0.20	0.10	4.79	
000031	大悦城	0.00	6.71	0.00	6.71	6.72	73681	458	-0.14	0.41	6.71	
000032	深桑达Ａ	1.76	11.55	0.20	11.54	11.55	49187	287	-0.08	1.20	11.31	
000034	神州数码	2.72	16.23	0.43	16.23	16.26	146648	1906	-0.17	3.02	15.78	
000035	中国天楹	-1.52	5.83	-0.09	5.83	5.84	79927	1180	-0.16	0.62	5.89	
000036	华联控股	0.00	4.14	0.00	4.14	4.15	36073	389	0.00	0.24	4.13	
000037	深南电Ａ	2.49	13.98	0.34	13.96	13.98	16808	522	0.22	0.50	13.46	
000038	深大通	0.33	12.11	0.04	12.11	12.12	109749	2288	-0.24	4.79	12.22	
